ProfileID,MeastID,U-Sensor,GapPresentBits_Gap3233toGap0001,meast_idx
284017,362,18.861,000000000111111111111111000000000,361
284018,363,18.925,000000000111111111111111000000000,362
284019,364,18.988,000000000111111111111111000000000,363
284020,365,19.052,000000000111111111111111000000000,364
284021,366,19.116,000000000111111111111110000000000,365
284022,367,19.179,000000000111111111111110000000000,366
284023,368,19.242,000000000111111111111100000000000,367
284024,369,19.306,000000000111111111111100000000000,368
284025,370,19.37,000000000111111111111000000000000,369
284026,371,19.433,000000000111111111111000000000000,370
284027,372,19.497,000000000111111111110000000000000,371
284028,373,19.561,000000000111111111100000000000000,372
284029,374,19.625,000000000111111111100000000000000,373
284030,375,19.689,000000000111111111000000000000000,374
284031,376,19.752,000000000111111111000000000000000,375
284032,377,19.816,000000000111111110000000000000000,376
284033,378,19.88,000000000111111110000000000000000,377
284034,379,19.943,000000000111111100000000000000000,378
284035,380,20.007,000000000111111100000000000000000,379
284036,381,20.07,000000000111111000000000000000000,380
284037,382,20.134,000000000111111000000000000000000,381
284038,383,20.198,000000000111110000000000000000000,382
284039,384,20.261,000000000111110000000000000000000,383
284040,385,20.325,000000000111100000000000000000000,384
284041,386,20.389,000000000111100000000000000000000,385
284042,387,20.452,000000000111000000000000000000000,386
284043,388,20.516,000000000111000000000000000000000,387
284044,389,20.58,000000000110000000000000000000000,388
284045,390,20.643,000000000110000000000000000000000,389
284046,391,20.707,000000000100000000000000000000000,390
284047,392,20.771,000000000100000000000000000000000,391
284085,430,23.189,000000000000000000000001000000000,429
284086,431,23.252,000000000000000000000001000000000,430
284087,432,23.315,000000000000000000000011000000000,431
284088,433,23.379,000000000000000000000011000000000,432
284089,434,23.443,000000000000000000000111000000000,433
284090,435,23.505,000000000000000000000111000000000,434
284091,436,23.57,000000000000000000001111000000000,435
284092,437,23.633,000000000000000000001111000000000,436
284093,438,23.697,000000000000000000011111000000000,437
284094,439,23.76,000000000000000000011111000000000,438
284095,440,23.824,000000000000000000111111000000000,439
284096,441,23.887,000000000000000000111111000000000,440
284097,442,23.951,000000000000000001111111000000000,441
284098,443,24.015,000000000000000001111111000000000,442
284099,444,24.079,000000000000000011111111000000000,443
284100,445,24.143,000000000000000011111111000000000,444
284101,446,24.206,000000000000000111111111000000000,445
284102,447,24.269,000000000000000111111111000000000,446
284103,448,24.333,000000000000001111111111000000000,447
284104,449,24.397,000000000000001111111111000000000,448
284105,450,24.46,000000000000011111111111000000000,449
284106,451,24.524,000000000000011111111111000000000,450
284107,452,24.587,000000000000111111111111000000000,451
284108,453,24.651,000000000000111111111111000000000,452
284109,454,24.714,000000000001111111111111000000000,453
284110,455,24.778,000000000001111111111111000000000,454
284111,456,24.842,000000000011111111111111000000000,455
284112,457,24.907,000000000011111111111111000000000,456
284113,458,24.969,000000000111111111111111000000000,457
284114,459,25.033,000000000111111111111111000000000,458
284115,460,25.096,000000000111111111111111000000000,459
284116,461,25.16,000000000111111111111111000000000,460
284117,462,25.224,000000000111111111111111000000000,461
284118,463,25.287,000000000111111111111111000000000,462
284119,464,25.351,000000000111111111111111000000000,463
284120,465,25.415,000000000111111111111111000000000,464
284121,466,25.479,000000000111111111111111000000000,465
284122,467,25.543,000000000111111111111111000000000,466
284123,468,25.607,000000000111111111111111000000000,467
284124,469,25.67,000000000111111111111111000000000,468
284125,470,25.734,000000000111111111111111000000000,469
284126,471,25.797,000000000111111111111111000000000,470
284127,472,25.861,000000000111111111111111000000000,471
284128,473,25.924,000000000111111111111111000000000,472
284129,474,25.988,000000000111111111111111000000000,473
284130,475,26.052,000000000111111111111111000000000,474
284131,476,26.116,000000000111111111111111000000000,475
284132,477,26.179,000000000111111111111111000000000,476
284133,478,26.242,000000000111111111111111000000000,477
284134,479,26.307,000000000111111111111111000000000,478
284135,480,26.37,000000000111111111111111000000000,479
284136,481,26.433,000000000111111111111111000000000,480
284137,482,26.497,000000000111111111111111000000000,481
284138,483,26.561,000000000111111111111111000000000,482
284139,484,26.624,000000000111111111111111000000000,483
284140,485,26.688,000000000111111111111111000000000,484
284141,486,26.752,000000000111111111111111000000000,485
284142,487,26.815,000000000111111111111111000000000,486
284143,488,26.879,000000000111111111111111000000000,487
284144,489,26.942,000000000111111111111111000000000,488
284145,490,27.006,000000000111111111111111000000000,489
284146,491,27.069,000000000111111111111111000000000,490
284147,492,27.132,000000000111111111111111000000000,491
284148,493,27.197,000000000111111111111111000000000,492
284149,494,27.261,000000000111111111111111000000000,493
284150,495,27.324,000000000111111111111111000000000,494
284151,496,27.388,000000000111111111111111000000000,495
284152,497,27.452,000000000111111111111111000000000,496
284153,498,27.515,000000000111111111111111000000000,497
284154,499,27.579,000000000111111111111111000000000,498
284155,500,27.642,000000000111111111111111000000000,499
284156,501,27.706,000000000111111111111111000000000,500
284157,502,27.77,000000000111111111111111000000000,501
284158,503,27.833,000000000111111111111111000000000,502
284159,504,27.897,000000000111111111111111000000000,503
284160,505,27.961,000000000111111111111111000000000,504
284161,506,28.024,000000000111111111111111000000000,505
284162,507,28.087,000000000111111111111111000000000,506
284163,508,28.152,000000000111111111111110000000000,507
284164,509,28.214,000000000111111111111110000000000,508
284165,510,28.278,000000000111111111111110000000000,509
284166,511,28.341,000000000111111111111110000000000,510
284167,512,28.405,000000000111111111111100000000000,511
284168,513,28.469,000000000111111111111100000000000,512
284169,514,28.532,000000000111111111111100000000000,513
284170,515,28.596,000000000111111111111100000000000,514
284171,516,28.66,000000000111111111111000000000000,515
284172,517,28.723,000000000111111111111000000000000,516
284173,518,28.787,000000000111111111111000000000000,517
