MeastID,Ply,Course,U-Roller,U-Sensor,U-TowChangeProgramed,TowPresentBitmap,GapPresentBitmap,ProfileID,Notes,X,Y,Z,C,n1,n2,n3,j1,j2,j3,j4,j5,j6
70,3,26,1.7995291,0.362,0,16776960,16776704,283725,,6.434,-21.967,124.006,0,1,0,0,0,0,0,0,0,0
71,3,26,1.8508918,0.413,0,16776960,16776704,283726,,6.434,-21.967,123.955,0,1,0,0,0,0,0,0,0,0
72,3,26,1.9035558,0.466,0,16776960,16776704,283727,,6.434,-21.967,123.902,0,1,0,0,0,0,0,0,0,0
73,3,26,1.9571558,0.519,0,16776960,16776704,283728,,6.434,-21.967,123.849,0,1,0,0,0,0,0,0,0,0
74,3,26,2.0117924,0.574,0,16776960,16776704,283729,,6.434,-21.967,123.794,0,1,0,0,0,0,0,0,0,0
75,3,26,2.0676191,0.63,0,16776960,16776704,283730,,6.434,-21.967,123.738,0,1,0,0,0,0,0,0,0,0
76,3,26,2.1248494,0.687,0,16776960,16776704,283731,,6.434,-21.967,123.681,0,1,0,0,0,0,0,0,0,0
77,3,26,2.1833506,0.745,0,16776960,16776704,283732,,6.434,-21.967,123.622,0,1,0,0,0,0,0,0,0,0
78,3,26,2.2420474,0.804,0,16776960,16776704,283733,,6.434,-21.967,123.563,0,1,0,0,0,0,0,0,0,0
79,3,26,2.301415,0.863,0,16776960,16776704,283734,,6.434,-21.967,123.504,0,1,0,0,0,0,0,0,0,0
80,3,26,2.3624886,0.924,0,16776960,16776704,283735,,6.434,-21.968,123.443,0,1,0,0,0,0,0,0,0,0
81,3,26,2.4239808,0.986,0,16776960,16776704,283736,,6.434,-21.968,123.381,0,1,0,0,0,0,0,0,0,0
82,3,26,2.4854234,1.047,0,16776960,16776704,283737,,6.434,-21.968,123.32,0,1,0,0,0,0,0,0,0,0
83,3,26,2.5480783,1.11,0,16776960,16776704,283738,,6.434,-21.968,123.257,0,1,0,0,0,0,0,0,0,0
84,3,26,2.6106542,1.173,0,16776960,16776704,283739,,6.434,-21.968,123.194,0,1,0,0,0,0,0,0,0,0
85,3,26,2.674368,1.236,0,16776960,16776704,283740,,6.434,-21.968,123.131,0,1,0,0,0,0,0,0,0,0
86,3,26,2.738264,1.3,0,16776960,16776704,283741,,6.434,-21.968,123.067,0,1,0,0,0,0,0,0,0,0
87,3,26,2.801784,1.364,0,16776960,16776704,283742,,6.434,-21.968,123.003,0,1,0,0,0,0,0,0,0,0
