ProfileID,MeastID,U-Sensor,U-TowChangeProgramed,TowPresentBits_Tow32toTow01,meast_idx,t32d,t31d,t30d,t29d,t28d,t27d,t26d,t25d,t24d,t23d,t22d,t21d,t20d,t19d,t18d,t17d,t16d,t15d,t14d,t13d,t12d,t11d,t10d,t09d,t08d,t07d,t06d,t05d,t04d,t03d,t02d,t01d
284202,547,30.633,30.621,00000000111110000000000000000000,546,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284206,551,30.887,30.87,00000000111100000000000000000000,550,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284210,555,31.141,31.12,00000000111000000000000000000000,554,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284214,559,31.396,31.37,00000000110000000000000000000000,558,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284218,563,31.651,31.624,00000000100000000000000000000000,562,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284222,567,31.905,31.87,00000000000000000000000000000000,566,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284257,602,34.133,34.12,00000000000000000000000100000000,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
284261,606,34.387,34.37,00000000000000000000001100000000,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
284265,610,34.641,34.619,00000000000000000000011100000000,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
284269,614,34.896,34.869,00000000000000000000111100000000,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284273,618,35.15,35.119,00000000000000000001111100000000,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284277,622,35.405,35.369,00000000000000000011111100000000,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284281,626,35.659,35.619,00000000000000000111111100000000,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284285,630,35.914,35.869,00000000000000001111111100000000,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
